id,title,subtitle,company,location,sublocation,hourly_rate_neto,hourly_rate_bruto,payment_type,normalized_payment_type,normalized_city,normalized_region,description,open_positions,duration,work_schedule,start_date,first_seen,last_seen
481476,FIZIČNA DELA,MONTAŽA,KSS RENT D.O.O.,PORTOROŽ,,10.0,11.62,10.00 €/h neto (11.62 €/h bruto),HOURLY,PORTOROŽ/PORTOROSE,OBALNO-KRAŠKA,Potrebujejo fizično močne osebe za pomoč pri montaži odra. Delo se začne ob cca 7.00 in traja predvidoma 6 ur.,4,"SREDA, 27. 5. 2026",DOPOLDAN,2026-05-27,2026-05-22T20:24:06.579448+00:00,2026-05-25T20:13:50.135668+00:00
481477,FIZIČNA DELA,,KSS RENT D.O.O.,MARIBOR,,10.0,11.62,10.00 €/h neto (11.62 €/h bruto),HOURLY,MARIBOR,PODRAVSKA,Iščejo fizično močne osebe za pomoč pri postavljanju odra. Delo se začne ob 7. uri in traja cca. 5 ur.,4,"ČETRTEK, 28. 5 .2026",DOPOLDAN,2026-05-28,2026-05-22T20:24:06.579448+00:00,2026-05-25T20:13:50.135668+00:00
481479,STREŽBA,,"TERMO-PRO, GAŠPER OKROŽNIK S.P.","SLOVENSKA BISTRICA, OB STADIONU 10",TEN TOP BAR,7.8,9.06,7.80 €/h neto (9.06 €/h bruto),HOURLY,SLOVENSKA BISTRICA,PODRAVSKA,V prijetnem lokalu v sklopu teniške dvorane potrebujejo osebi za strežbo pijače. Za opravljanje dela ni potrebnih predhodnih znanj.,2,PO DOGOVORU,IZMENSKO,,2026-05-22T20:24:06.579448+00:00,2026-06-15T21:34:48.266634+00:00
481480,STREŽBA HRANE IN PIJAČE,,PARTNER D.O.O.,"RADLJE OB DRAVI, KOROŠKA CESTA 61",GOLD PUB,7.73,8.98,7.73 €/h neto (8.98 €/h bruto),HOURLY,RADLJE OB DRAVI,KOROŠKA,V restavraciji in pubu potrebujejo osebe za strežbo hrrane in pijače.,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-22T20:24:06.579448+00:00,2026-08-23T18:59:37.048068+00:00
481481,STREŽBA HRANE IN PIJAČE,,PARTNER D.O.O.,RADLJE OB DRAVI,,7.73,8.98,7.73 €/h neto (8.98 €/h bruto),HOURLY,RADLJE OB DRAVI,KOROŠKA,Vodni park potrebuje osebe za strežbo hrane in pijače v lokalu.,6,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-22T20:24:06.579448+00:00,2026-08-23T18:59:37.048068+00:00
481482,DELO V SKLADIŠČU,,GEAPRODUKT D.O.O.,"LJUBLJANA, DOLENJSKA CESTA 242",,7.73,8.98,7.73 €/h neto (8.98 €/h bruto),HOURLY,LJUBLJANA,OSREDNJESLOVENSKA,"Pridruži se njihovi ekipi in pridobi izkušnje v urejenem ter dinamičnem okolju. Naloge: prevzem in skladiščenje blaga, priprava naročil za odpremo, razporejanje blaga v skladišču. Pogoji: polnoletnost, dobra fizična kondicija, natančnost, zanesljivost in odgovoren pristop. Poleg urne postavke ponujajo stimulacijo. Prijavi se in postani del ekipe!",5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-22T20:24:06.579448+00:00,2026-07-12T19:43:09.105601+00:00
481483,SELITVE,,"EUROSPIN EKO, D.O.O.","NOVA GORICA, KROMBERK (INDUSTRIJSKA CONA)",,8.15,9.47,8.15 €/h neto (9.47 €/h bruto),HOURLY,NOVA GORICA,GORIŠKA,"Iščejo pomoč pri selitvi dokumentacije (fascikli in mape) na upravi podjetja. Delo bo potekalo 1 dan ali več dni, po 1. 6. 2026.",3,NEKAJ DNI,DOPOLDAN,2026-06-01,2026-05-22T20:24:06.579448+00:00,2026-05-25T20:13:50.135668+00:00
481484,RAZVOZ,RAZVOZ HRANE,"KARAMBA, DRUŽBA ZA GOSTINSTVO, TRGOVINO, PROIZVODNJO IN STORITVE, D.O.O.","MARIBOR, ULICA PARIŠKE KOMUNE 37",CANTANTE CAFÉ,7.73,8.98,7.73 €/h neto (8.98 €/h bruto),HOURLY,MARIBOR,PODRAVSKA,Podjetje potrebuje osebo za razvoz hrane. Pogoja sta vozniški izpit B kategorije vsaj tri leta ter znanje slovenskega jezika.,,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,,2026-05-22T20:24:06.579448+00:00,2026-07-31T20:05:37.869940+00:00
481485,HOSTES/A,,ETNO RESTAVRACIJE D.O.O.,"MARIBOR, POŠTNA ULICA 8",ETNO HIŠA BAŠČARŠIJA,10.0,11.62,10.00 €/h neto (11.62 €/h bruto),HOURLY,MARIBOR,PODRAVSKA,"Nudijo delo v priljubljeni in živahni restavraciji. Tvoje naloge bodo: sprejem gostov ob prihodu, pomoč pri razporejanju miz in usmerjanju gostov, skrb za red pred vhodom in prijetno vzdušje v čakalnici, komunikacija z natakarji in pomoč pri osnovnih informacijah. Pričakujejo: prijaznost, urejenost in profesionalen odnos, samoiniciativnost in veselje do dela z ljudmi, osnovno znanje slovenščine in osnovno znanje angleščine. Izkušnje niso pogoj, so pa prednost.",,POČITNIŠKO DELO,IZMENSKO,,2026-05-22T20:24:06.579448+00:00,2026-06-10T21:10:53.929487+00:00
481486,ZAHTEVNA ADMINISTRATIVNA DELA,,RLS MERILNA TEHNIKA D.O.O.,"KOMENDA, PC ŽEJE PRI KOMENDI, POD VRBAMI 2",,9.0,10.46,9.00 €/h neto (10.46 €/h bruto),HOURLY,KOMENDA,OSREDNJESLOVENSKA,"V visokotehnološkem podjetju v uspešen tim strokovnjakov vabijo študenta/ko za administracijo in podporo v kakovosti. Pričakujejo samostojnost, proaktivnost in natančnost. Zahtevana je dobra pismenost v slovenskem in angleškem jeziku ter napredno znanje v MS Excel. Prednost ima poznavanje orodij kakovosti za reševanje problemov in ugotavljanje tveganj. Možnost zaposlitve. Več informacij o prostem delu na njihovi spletni strani.",,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,,2026-05-25T20:13:50.135668+00:00,2026-06-28T19:55:59.452248+00:00
