naselje,obcina,regija
BENETE,BLOKE,PRIMORSKO-NOTRANJSKA
BENEČIJA,TREBNJE,JUGOVZHODNA SLOVENIJA
BENICA,LENDAVA/LENDVA,POMURSKA
BEREČA VAS,METLIKA,JUGOVZHODNA SLOVENIJA
BERINJAK,VIDEM,PODRAVSKA
BERINJEK,LITIJA,ZASAVSKA
BERIČEVO,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
BERKOVCI,KRIŽEVCI,POMURSKA
BERKOVCI,MORAVSKE TOPLICE,POMURSKA
BERKOVSKI PRELOGI,KRIŽEVCI,POMURSKA
BERTOKI/BERTOCCHI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BESNICA,LJUBLJANA,OSREDNJESLOVENSKA
BETANJA,DIVAČA,OBALNO-KRAŠKA
BETONOVO,SODRAŽICA,JUGOVZHODNA SLOVENIJA
BEVKE,VRHNIKA,OSREDNJESLOVENSKA
BEVČE,VELENJE,SAVINJSKA
BEZENA,RUŠE,PODRAVSKA
BEZENŠKOVO BUKOVJE,VOJNIK,SAVINJSKA
BEZGARJI,OSILNICA,JUGOVZHODNA SLOVENIJA
BEZGOVICA,OSILNICA,JUGOVZHODNA SLOVENIJA
BEZGOVICA,ŠMARJE PRI JELŠAH,SAVINJSKA
BEZINA,SLOVENSKE KONJICE,SAVINJSKA
BEZNOVCI,PUCONCI,POMURSKA
BEZOVICA,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BEZOVICA,VOJNIK,SAVINJSKA
BEZOVJE NAD ZREČAMI,ZREČE,SAVINJSKA
BEZOVJE PRI ŠENTJURJU,ŠENTJUR,SAVINJSKA
BEZULJAK,CERKNICA,PRIMORSKO-NOTRANJSKA
BEČ,CERKNICA,PRIMORSKO-NOTRANJSKA
BEČAJE,CERKNICA,PRIMORSKO-NOTRANJSKA
BILJANA,BRDA,GORIŠKA
BILJE,MIREN - KOSTANJEVICA,GORIŠKA
BINKELJ,ŠKOFJA LOKA,GORENJSKA
BIRNA VAS,SEVNICA,POSAVSKA
BIRČNA VAS,NOVO MESTO,JUGOVZHODNA SLOVENIJA
BISERJANE,SVETI JURIJ OB ŠČAVNICI,POMURSKA
BISTRA,VRHNIKA,OSREDNJESLOVENSKA
BISTRA,ČRNA NA KOROŠKEM,KOROŠKA
BISTRICA,KOZJE,SAVINJSKA
BISTRICA,LITIJA,ZASAVSKA
BISTRICA,NAKLO,GORENJSKA
BISTRICA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BISTRICA,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
BISTRICA OB DRAVI,RUŠE,PODRAVSKA
BISTRICA OB SOTLI,BISTRICA OB SOTLI,POSAVSKA
BISTRICA PRI TRŽIČU,TRŽIČ,GORENJSKA
BISTRIČICA,KAMNIK,OSREDNJESLOVENSKA
BITIČE,LITIJA,ZASAVSKA
BITNJA VAS,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
BITNJE,BOHINJ,GORENJSKA
BIZELJSKA VAS,BREŽICE,POSAVSKA
BIZELJSKO,BREŽICE,POSAVSKA
BIČ,TREBNJE,JUGOVZHODNA SLOVENIJA
BIČJE,GROSUPLJE,OSREDNJESLOVENSKA
BIŠ,TRNOVSKA VAS,PODRAVSKA
BIŠEČKI VRH,TRNOVSKA VAS,PODRAVSKA
BIŠKA VAS,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
BIŠČE,DOMŽALE,OSREDNJESLOVENSKA
BLAGOVICA,LUKOVICA,OSREDNJESLOVENSKA
BLAGUŠ,SVETI JURIJ OB ŠČAVNICI,POMURSKA
BLANCA,SEVNICA,POSAVSKA
BLATE,RIBNICA,JUGOVZHODNA SLOVENIJA
BLATNA BREZOVICA,VRHNIKA,OSREDNJESLOVENSKA
BLATNI VRH,LAŠKO,SAVINJSKA
BLATNIK PRI ČRMOŠNJICAH,SEMIČ,JUGOVZHODNA SLOVENIJA
BLATNIK PRI ČRNOMLJU,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BLATNO,BREŽICE,POSAVSKA
BLATO,SLOVENSKE KONJICE,SAVINJSKA
BLATO,TREBNJE,JUGOVZHODNA SLOVENIJA
BLED,BLED,GORENJSKA
BLEJSKA DOBRAVA,JESENICE,GORENJSKA
BLEČJI VRH,GROSUPLJE,OSREDNJESLOVENSKA
BLODNIK,ZAGORJE OB SAVI,ZASAVSKA
BLOČICE,CERKNICA,PRIMORSKO-NOTRANJSKA
BLOŠKA POLICA,CERKNICA,PRIMORSKO-NOTRANJSKA
BOBEN,HRASTNIK,ZASAVSKA
BOBOVEK,KRANJ,GORENJSKA
BOBOVO PRI PONIKVI,ŠENTJUR,SAVINJSKA
BOBOVO PRI ŠMARJU,ŠMARJE PRI JELŠAH,SAVINJSKA
BODEŠČE,BLED,GORENJSKA
BODISLAVCI,LJUTOMER,POMURSKA
BODKOVCI,JURŠINCI,PODRAVSKA
BODONCI,PUCONCI,POMURSKA
BODOVLJE,ŠKOFJA LOKA,GORENJSKA
BODREŽ,KANAL,GORIŠKA
BODREŽ,ŠMARJE PRI JELŠAH,SAVINJSKA
BODRIŠNA VAS,ŠMARJE PRI JELŠAH,SAVINJSKA
BOGA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
BOGENŠPERK,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
BOGINJA VAS,METLIKA,JUGOVZHODNA SLOVENIJA
BOGNEČA VAS,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
BOGO,SEŽANA,OBALNO-KRAŠKA
BOGOJINA,MORAVSKE TOPLICE,POMURSKA
BOHARINA,ZREČE,SAVINJSKA
BOHINJSKA BELA,BLED,GORENJSKA
BOHINJSKA BISTRICA,BOHINJ,GORENJSKA
BOHINJSKA ČEŠNJICA,BOHINJ,GORENJSKA
BOHOVA,HOČE - SLIVNICA,PODRAVSKA
BOJANCI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BOJANJA VAS,METLIKA,JUGOVZHODNA SLOVENIJA
BOJANJI VRH,IVANČNA GORICA,OSREDNJESLOVENSKA
BOJSNO,BREŽICE,POSAVSKA
BOJTINA,SLOVENSKA BISTRICA,PODRAVSKA
BOKRAČI,PUCONCI,POMURSKA
BOLDRAŽ,METLIKA,JUGOVZHODNA SLOVENIJA
BOLEHNEČICI,SVETI JURIJ OB ŠČAVNICI,POMURSKA
BOLETINA,ŠENTJUR,SAVINJSKA
BOLEČKA VAS,MAJŠPERK,PODRAVSKA
BOLTIJA,LITIJA,ZASAVSKA
BONINI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BORAČEVA,RADENCI,POMURSKA
BORECI,KRIŽEVCI,POMURSKA
BOREJCI,TIŠINA,POMURSKA
BOREČA,GORNJI PETROVCI,POMURSKA
BORIČEVO,NOVO MESTO,JUGOVZHODNA SLOVENIJA
BORJANA,KOBARID,GORIŠKA
BORJE,ZAGORJE OB SAVI,ZASAVSKA
BORJE PRI MLINŠAH,ZAGORJE OB SAVI,ZASAVSKA
BOROVAK PRI PODKUMU,ZAGORJE OB SAVI,ZASAVSKA
BOROVAK PRI POLŠNIKU,LITIJA,ZASAVSKA
BOROVCI,MARKOVCI,PODRAVSKA
BOROVEC PRI KARLOVICI,VELIKE LAŠČE,OSREDNJESLOVENSKA
BOROVEC PRI KOČEVSKI REKI,KOČEVJE,JUGOVZHODNA SLOVENIJA
BOROVNICA,BOROVNICA,OSREDNJESLOVENSKA
BORŠT,BREŽICE,POSAVSKA
BORŠT,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BORŠT,METLIKA,JUGOVZHODNA SLOVENIJA
BORŠT PRI DVORU,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
BOSLJIVA LOKA,OSILNICA,JUGOVZHODNA SLOVENIJA
BOTRIČNICA,ŠENTJUR,SAVINJSKA
BOVEC,BOVEC,GORIŠKA
BOVŠE,VOJNIK,SAVINJSKA
BOČAJI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BOČKOVO,BLOKE,PRIMORSKO-NOTRANJSKA
BOČNA,GORNJI GRAD,SAVINJSKA
BOŠAMARIN/BOSSAMARINO,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BOŠTANJ,SEVNICA,POSAVSKA
BOŠTETJE,VELIKE LAŠČE,OSREDNJESLOVENSKA
BOŽAKOVO,METLIKA,JUGOVZHODNA SLOVENIJA
BOŽIČ VRH,METLIKA,JUGOVZHODNA SLOVENIJA
BOŽJE,OPLOTNICA,PODRAVSKA
BRANIK,NOVA GORICA,GORIŠKA
BRANKOVO,VELIKE LAŠČE,OSREDNJESLOVENSKA
BRANOSLAVCI,LJUTOMER,POMURSKA
BRASLOVČE,BRASLOVČE,SAVINJSKA
BRATISLAVCI,DORNAVA,PODRAVSKA
BRATNICE,IVANČNA GORICA,OSREDNJESLOVENSKA
BRATONCI,BELTINCI,POMURSKA
BRATONEČICE,SVETI TOMAŽ,PODRAVSKA
BRAČNA VAS,BREŽICE,POSAVSKA
BRCE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
BRDA,RADOVLJICA,GORENJSKA
BRDA,SLOVENJ GRADEC,KOROŠKA
BRDARCI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BRDCE,HRASTNIK,ZASAVSKA
BRDCE,VOJNIK,SAVINJSKA
BRDCE NAD DOBRNO,DOBRNA,SAVINJSKA
BRDICE PRI KOŽBANI,BRDA,GORIŠKA
BRDICE PRI NEBLEM,BRDA,GORIŠKA
BRDINJE,RAVNE NA KOROŠKEM,KOROŠKA
BRDO,DOMŽALE,OSREDNJESLOVENSKA
BRDO,NAZARJE,SAVINJSKA
BRDO,NOVA GORICA,GORIŠKA
BRDO,SLOVENSKE KONJICE,SAVINJSKA
BRDO,TRŽIČ,GORENJSKA
BRDO,ŠENTJUR,SAVINJSKA
BRDO PRI LUKOVICI,LUKOVICA,OSREDNJESLOVENSKA
BREBOVNICA,GORENJA VAS - POLJANE,GORENJSKA
BRECLJEVO,ŠMARJE PRI JELŠAH,SAVINJSKA
BREG,MAJŠPERK,PODRAVSKA
BREG,MEŽICA,KOROŠKA
BREG,SEVNICA,POSAVSKA
BREG,ŽIROVNICA,GORENJSKA
BREG OB BISTRICI,TRŽIČ,GORENJSKA
BREG OB KOKRI,PREDDVOR,GORENJSKA
BREG OB SAVI,KRANJ,GORENJSKA
BREG PRI BOROVNICI,BOROVNICA,OSREDNJESLOVENSKA
BREG PRI DOBU,IVANČNA GORICA,OSREDNJESLOVENSKA
BREG PRI GOLEM BRDU,BRDA,GORIŠKA
BREG PRI KOMENDI,KOMENDA,OSREDNJESLOVENSKA
BREG PRI KONJICAH,SLOVENSKE KONJICE,SAVINJSKA
BREG PRI KOČEVJU,KOČEVJE,JUGOVZHODNA SLOVENIJA
BREG PRI LITIJI,LITIJA,ZASAVSKA
BREG PRI POLZELI,POLZELA,SAVINJSKA
BREG PRI RIBNICI NA DOL.,RIBNICA,JUGOVZHODNA SLOVENIJA
BREG PRI SINJEM VRHU,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BREG PRI TEMENICI,IVANČNA GORICA,OSREDNJESLOVENSKA
BREG PRI ZAGRADCU,IVANČNA GORICA,OSREDNJESLOVENSKA
BREGE,KRŠKO,POSAVSKA
BREGINJ,KOBARID,GORIŠKA
BREKOVICE,ŽIRI,GORENJSKA
BRENGOVA,CERKVENJAK,PODRAVSKA
BRESNICA,ORMOŽ,PODRAVSKA
BREST,IG,OSREDNJESLOVENSKA
BRESTANICA,KRŠKO,POSAVSKA
BRESTERNICA,MARIBOR,PODRAVSKA
BRESTJE,BRDA,GORIŠKA
BRESTOVEC,ROGAŠKA SLATINA,SAVINJSKA
BRESTOVICA PRI KOMNU,KOMEN,OBALNO-KRAŠKA
BRESTOVICA PRI POVIRJU,SEŽANA,OBALNO-KRAŠKA
BREZA,TREBNJE,JUGOVZHODNA SLOVENIJA
BREZEN,VITANJE,SAVINJSKA
BREZJE,CERKNICA,PRIMORSKO-NOTRANJSKA
BREZJE,MOZIRJE,SAVINJSKA
BREZJE,NOVO MESTO,JUGOVZHODNA SLOVENIJA
BREZJE,RADOVLJICA,GORENJSKA
BREZJE,SEVNICA,POSAVSKA
BREZJE,SVETI JURIJ OB ŠČAVNICI,POMURSKA
BREZJE,ZAGORJE OB SAVI,ZASAVSKA
BREZJE NAD KAMNIKOM,KAMNIK,OSREDNJESLOVENSKA
BREZJE OB SLOMU,ŠENTJUR,SAVINJSKA
BREZJE POD NANOSOM,POSTOJNA,PRIMORSKO-NOTRANJSKA
BREZJE PRI BOJSNEM,BREŽICE,POSAVSKA
BREZJE PRI DOBJEM,DOBJE,SAVINJSKA
BREZJE PRI DOBROVI,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
BREZJE PRI DOBU,DOMŽALE,OSREDNJESLOVENSKA
BREZJE PRI DOVŠKEM,KRŠKO,POSAVSKA
BREZJE PRI GROSUPLJEM,GROSUPLJE,OSREDNJESLOVENSKA
