naselje,obcina,regija
GRABČE,GORJE,GORENJSKA
GRABŠINCI,SVETI JURIJ OB ŠČAVNICI,POMURSKA
GRAD,CERKLJE NA GORENJSKEM,GORENJSKA
GRAD,GRAD,POMURSKA
GRADAC,METLIKA,JUGOVZHODNA SLOVENIJA
GRADEC,KRŠKO,POSAVSKA
GRADEC,PIVKA,PRIMORSKO-NOTRANJSKA
GRADENC,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
GRADENJE,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
GRADENŠAK,LENART,PODRAVSKA
GRADEŽ,VELIKE LAŠČE,OSREDNJESLOVENSKA
GRADIN,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
GRADIČEK,IVANČNA GORICA,OSREDNJESLOVENSKA
GRADIŠICA,HRPELJE - KOZINA,OBALNO-KRAŠKA
GRADIŠKA,KUNGOTA,PODRAVSKA
GRADIŠKE LAZE,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
GRADIŠKI DOL,ROGAŠKA SLATINA,SAVINJSKA
GRADIŠKO,BLOKE,PRIMORSKO-NOTRANJSKA
GRADIŠČA,CIRKULANE,PODRAVSKA
GRADIŠČAK,JURŠINCI,PODRAVSKA
GRADIŠČE,GROSUPLJE,OSREDNJESLOVENSKA
GRADIŠČE,KOZJE,SAVINJSKA
GRADIŠČE,SLOVENJ GRADEC,KOROŠKA
GRADIŠČE,SVETI TOMAŽ,PODRAVSKA
GRADIŠČE,TIŠINA,POMURSKA
GRADIŠČE,VELIKE LAŠČE,OSREDNJESLOVENSKA
GRADIŠČE,VIDEM,PODRAVSKA
GRADIŠČE,ŠKOFLJICA,OSREDNJESLOVENSKA
GRADIŠČE - K. O. ŠT. LOVRENC,LITIJA,ZASAVSKA
GRADIŠČE NA KOZJAKU,SELNICA OB DRAVI,PODRAVSKA
GRADIŠČE NAD PRVAČINO,NOVA GORICA,GORIŠKA
GRADIŠČE PRI DIVAČI,DIVAČA,OBALNO-KRAŠKA
GRADIŠČE PRI LITIJI,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
GRADIŠČE PRI LUKOVICI,LUKOVICA,OSREDNJESLOVENSKA
GRADIŠČE PRI MATERIJI,HRPELJE - KOZINA,OBALNO-KRAŠKA
GRADIŠČE PRI RAKI,KRŠKO,POSAVSKA
GRADIŠČE PRI TREBNJEM,TREBNJE,JUGOVZHODNA SLOVENIJA
GRADIŠČE PRI VIPAVI,VIPAVA,GORIŠKA
GRADIŠČE PRI VOJNIKU,VOJNIK,SAVINJSKA
GRADIŠČE PRI ŠTJAKU,SEŽANA,OBALNO-KRAŠKA
GRADIŠČE V TUHINJU,KAMNIK,OSREDNJESLOVENSKA
GRADIŠČE-K. O. GRAD. IN POLJ.,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
GRADNIK,SEMIČ,JUGOVZHODNA SLOVENIJA
GRADNJE,KRŠKO,POSAVSKA
GRADNJE,SEŽANA,OBALNO-KRAŠKA
GRADNO,BRDA,GORIŠKA
GRAHOVO,CERKNICA,PRIMORSKO-NOTRANJSKA
GRAHOVO BRDO,SEŽANA,OBALNO-KRAŠKA
GRAHOVO OB BAČI,TOLMIN,GORIŠKA
GRAHOVŠE,TRŽIČ,GORENJSKA
GRAJENA,PTUJ,PODRAVSKA
GRAJENŠČAK,PTUJ,PODRAVSKA
GRAJSKA VAS,BRASLOVČE,SAVINJSKA
GRANT,TOLMIN,GORIŠKA
GRAČIČ,ZREČE,SAVINJSKA
GRAČIŠČE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
GRAČNICA,LAŠKO,SAVINJSKA
GRAŠKA GORA,SLOVENJ GRADEC,KOROŠKA
GRDINA,MAJŠPERK,PODRAVSKA
GREBENJE,RIBNICA,JUGOVZHODNA SLOVENIJA
GREGOVCE,BREŽICE,POSAVSKA
GRENC,ŠKOFJA LOKA,GORENJSKA
GRESOVŠČAK,LJUTOMER,POMURSKA
GRGAR,NOVA GORICA,GORIŠKA
GRGARSKE RAVNE,NOVA GORICA,GORIŠKA
GRGELJ,KOSTEL,JUGOVZHODNA SLOVENIJA
GRIBLJE,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
GRINJAN,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
GRINTOVEC,IVANČNA GORICA,OSREDNJESLOVENSKA
GRINTOVEC,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
GRINTOVEC PRI OSILNICI,OSILNICA,JUGOVZHODNA SLOVENIJA
GRIVAC,KOSTEL,JUGOVZHODNA SLOVENIJA
GRIVČE,AJDOVŠČINA,GORIŠKA
GRIČ,KOSTANJEVICA NA KRKI,POSAVSKA
GRIČ,RIBNICA,JUGOVZHODNA SLOVENIJA
GRIČ PRI DOBLIČAH,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
GRIČ PRI KLEVEVŽU,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
GRIČ PRI TREBNJEM,TREBNJE,JUGOVZHODNA SLOVENIJA
GRIČEK PRI ŽELJNAH,KOČEVJE,JUGOVZHODNA SLOVENIJA
GRIŽE,IVANČNA GORICA,OSREDNJESLOVENSKA
GRIŽE,SEŽANA,OBALNO-KRAŠKA
GRIŽE,ŽALEC,SAVINJSKA
GRLAVA,LJUTOMER,POMURSKA
GRLINCI,JURŠINCI,PODRAVSKA
GRLIČE,ŠMARJE PRI JELŠAH,SAVINJSKA
GRM,IVANČNA GORICA,OSREDNJESLOVENSKA
GRM,TREBNJE,JUGOVZHODNA SLOVENIJA
GRM,VELIKE LAŠČE,OSREDNJESLOVENSKA
GRM PRI PODZEMLJU,METLIKA,JUGOVZHODNA SLOVENIJA
GRMADA,TREBNJE,JUGOVZHODNA SLOVENIJA
GRMOVLJE,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
GROBELCE,ŠMARJE PRI JELŠAH,SAVINJSKA
GROBELNO - DEL,ŠENTJUR,SAVINJSKA
GROBELNO - DEL,ŠMARJE PRI JELŠAH,SAVINJSKA
GROBIŠČE,POSTOJNA,PRIMORSKO-NOTRANJSKA
GROBLJE PRI PREKOPI,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
GROSUPLJE,GROSUPLJE,OSREDNJESLOVENSKA
GRUDNICA,TOLMIN,GORIŠKA
GRUČA,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
GRUŠCE,ŠENTJUR,SAVINJSKA
GRUŠENA,KUNGOTA,PODRAVSKA
GRUŠKOVEC,CIRKULANE,PODRAVSKA
GRUŠOVA,MARIBOR,PODRAVSKA
GRUŠOVLJE,REČICA OB SAVINJI,SAVINJSKA
GRČ VRH,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
GRČAREVEC,LOGATEC,OSREDNJESLOVENSKA
GRČARICE,RIBNICA,JUGOVZHODNA SLOVENIJA
GRČARSKE RAVNE,RIBNICA,JUGOVZHODNA SLOVENIJA
GRČE,ŽALEC,SAVINJSKA
GRŽEČA VAS,KRŠKO,POSAVSKA
GUBNO,KOZJE,SAVINJSKA
GUMBERK,NOVO MESTO,JUGOVZHODNA SLOVENIJA
GUMNIŠČE,ŠKOFLJICA,OSREDNJESLOVENSKA
GUNTE,KRŠKO,POSAVSKA
HAJDOŠE,HAJDINA,PODRAVSKA
HAJNDL,ORMOŽ,PODRAVSKA
HAJNSKO,ŠMARJE PRI JELŠAH,SAVINJSKA
HARDEK,ORMOŽ,PODRAVSKA
HARIJE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
HARJE,LAŠKO,SAVINJSKA
HERCEGOVŠČAK,GORNJA RADGONA,POMURSKA
HERINJA VAS,NOVO MESTO,JUGOVZHODNA SLOVENIJA
HERMANCI,ORMOŽ,PODRAVSKA
HINJCE,SEVNICA,POSAVSKA
HINJE,SEVNICA,POSAVSKA
HINJE,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
HITENO,BLOKE,PRIMORSKO-NOTRANJSKA
HLAPONCI,JURŠINCI,PODRAVSKA
HLAVČE NJIVE,GORENJA VAS - POLJANE,GORENJSKA
HLEBCE,RADOVLJICA,GORENJSKA
HLEBČE,VELIKE LAŠČE,OSREDNJESLOVENSKA
HLEVIŠE,LOGATEC,OSREDNJESLOVENSKA
HLEVNI VRH,LOGATEC,OSREDNJESLOVENSKA
HLEVNIK,BRDA,GORIŠKA
HMELJČIČ,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
HOBOVŠE PRI STARI OSELICI,GORENJA VAS - POLJANE,GORENJSKA
HODOŠ/HODOS,HODOŠ/HODOS,POMURSKA
HOHOVICA,LITIJA,ZASAVSKA
HOJČE,RIBNICA,JUGOVZHODNA SLOVENIJA
HOM,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
HOMEC,DOMŽALE,OSREDNJESLOVENSKA
HOMEC,KOBARID,GORIŠKA
HOMEC,REČICA OB SAVINJI,SAVINJSKA
HOMEC,VOJNIK,SAVINJSKA
HORJUL,HORJUL,OSREDNJESLOVENSKA
HOSTA,ŠKOFJA LOKA,GORENJSKA
HOTAVLJE,GORENJA VAS - POLJANE,GORENJSKA
HOTEDRŠICA,LOGATEC,OSREDNJESLOVENSKA
HOTEMAŽE,ŠENČUR,GORENJSKA
HOTEMEŽ,RADEČE,POSAVSKA
HOTINJA VAS,HOČE - SLIVNICA,PODRAVSKA
HOTIZA,LENDAVA/LENDVA,POMURSKA
HOTIČNA,HRPELJE - KOZINA,OBALNO-KRAŠKA
HOTOVLJA,GORENJA VAS - POLJANE,GORENJSKA
HOTUNJE,ŠENTJUR,SAVINJSKA
HOČEVJE,DOBREPOLJE,OSREDNJESLOVENSKA
HOČKO POHORJE,HOČE - SLIVNICA,PODRAVSKA
HOŠNICA,SLOVENSKA BISTRICA,PODRAVSKA
HRAMŠE,ŽALEC,SAVINJSKA
HRANJIGOVCI,SVETI TOMAŽ,PODRAVSKA
HRAST PRI JUGORJU,METLIKA,JUGOVZHODNA SLOVENIJA
HRAST PRI VINICI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
HRASTEK,KRŠKO,POSAVSKA
HRASTENICE,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
HRASTJE,KRANJ,GORENJSKA
HRASTJE,MARIBOR,PODRAVSKA
HRASTJE,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
HRASTJE,ŠENTJUR,SAVINJSKA
HRASTJE OB BISTRICI,BISTRICA OB SOTLI,POSAVSKA
HRASTJE PRI CERKLJAH,BREŽICE,POSAVSKA
HRASTJE PRI GROSUPLJEM,GROSUPLJE,OSREDNJESLOVENSKA
HRASTJE PRI MIRNI PEČI,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
HRASTJE-MOTA,RADENCI,POMURSKA
HRASTNIK,HRASTNIK,ZASAVSKA
HRASTNIK,MORAVČE,OSREDNJESLOVENSKA
HRASTNIK,VOJNIK,SAVINJSKA
HRASTNIK PRI TROJANAH,ZAGORJE OB SAVI,ZASAVSKA
HRASTNO,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
HRASTOV DOL,IVANČNA GORICA,OSREDNJESLOVENSKA
HRASTOVEC,VELENJE,SAVINJSKA
HRASTOVEC,ZAVRČ,PODRAVSKA
HRASTOVEC POD BOČEM,POLJČANE,PODRAVSKA
HRASTOVEC V SLOV. GORICAH,LENART,PODRAVSKA
HRASTOVICA,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
HRASTOVLJE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
HRASTULJE,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
HRAŠE,MEDVODE,OSREDNJESLOVENSKA
HRAŠE,RADOVLJICA,GORENJSKA
HRAŠE PRI PREDDVORU,PREDDVOR,GORENJSKA
HRAŠENSKI VRH,RADENCI,POMURSKA
HRAŠČE,POSTOJNA,PRIMORSKO-NOTRANJSKA
HRAŠČE,VIPAVA,GORIŠKA
HRELJIN,KOČEVJE,JUGOVZHODNA SLOVENIJA
HRENCA,MARIBOR,PODRAVSKA
HRENOVA,VOJNIK,SAVINJSKA
HRENOVICE,POSTOJNA,PRIMORSKO-NOTRANJSKA
HRIB,PREDDVOR,GORENJSKA
HRIB,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
HRIB,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
HRIB - LOŠKI POTOK,LOŠKI POTOK,JUGOVZHODNA SLOVENIJA
HRIB NAD RIBČAMI,MORAVČE,OSREDNJESLOVENSKA
HRIB PRI CEROVCU,SEMIČ,JUGOVZHODNA SLOVENIJA
HRIB PRI FARI,KOSTEL,JUGOVZHODNA SLOVENIJA
HRIB PRI HINJAH,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
HRIB PRI KAMNIKU,KAMNIK,OSREDNJESLOVENSKA
HRIB PRI KOPRIVNIKU,KOČEVJE,JUGOVZHODNA SLOVENIJA
HRIB PRI OREHKU,NOVO MESTO,JUGOVZHODNA SLOVENIJA
HRIB PRI ROŽNEM DOLU,SEMIČ,JUGOVZHODNA SLOVENIJA
HRIBARJEVO,BLOKE,PRIMORSKO-NOTRANJSKA
HRIBI,LUKOVICA,OSREDNJESLOVENSKA
HRIBI,SEŽANA,OBALNO-KRAŠKA
HRIBLJANE,CERKNICA,PRIMORSKO-NOTRANJSKA
HROVAČA,RIBNICA,JUGOVZHODNA SLOVENIJA
HRPELJE,HRPELJE - KOZINA,OBALNO-KRAŠKA
HRUSTOVO,VELIKE LAŠČE,OSREDNJESLOVENSKA
HRUŠEVEC,ŠENTJUR,SAVINJSKA
HRUŠEVICA,KOMEN,OBALNO-KRAŠKA
HRUŠEVJE,POSTOJNA,PRIMORSKO-NOTRANJSKA
HRUŠEVKA,KAMNIK,OSREDNJESLOVENSKA
HRUŠEVLJE,BRDA,GORIŠKA
HRUŠEVO,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
HRUŠICA,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
HRUŠICA,JESENICE,GORENJSKA
HRUŠICA,NOVO MESTO,JUGOVZHODNA SLOVENIJA
HRUŠKARJE,CERKNICA,PRIMORSKO-NOTRANJSKA
HRUŠOVJE,ŠENTJUR,SAVINJSKA
HRVATINI/CREVATINI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
HRVAŠKI BROD,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
HUDA JAMA,LAŠKO,SAVINJSKA
HUDA POLICA,GROSUPLJE,OSREDNJESLOVENSKA
HUDAJUŽNA,TOLMIN,GORIŠKA
HUDE RAVNE,LITIJA,ZASAVSKA
HUDEJE,TREBNJE,JUGOVZHODNA SLOVENIJA
HUDENJE,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
HUDI GRABEN,TRŽIČ,GORENJSKA
HUDI KONEC,RIBNICA,JUGOVZHODNA SLOVENIJA
HUDI KOT,RIBNICA NA POHORJU,KOROŠKA
HUDI LOG,MIREN - KOSTANJEVICA,GORIŠKA
HUDI VRH,BLOKE,PRIMORSKO-NOTRANJSKA
HUDINJA,VITANJE,SAVINJSKA
HUDO,DOMŽALE,OSREDNJESLOVENSKA
HUDO,NOVO MESTO,JUGOVZHODNA SLOVENIJA
HUDO,TRŽIČ,GORENJSKA
HUDO BREZJE,SEVNICA,POSAVSKA
HUJBAR,ORMOŽ,PODRAVSKA
HUJE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
HUM,BRDA,GORIŠKA
HUM PRI ORMOŽU,ORMOŽ,PODRAVSKA
HUŠICA,TRŽIČ,GORENJSKA
HVALETINCI,SVETI ANDRAŽ V SLOV. GORICAH,PODRAVSKA
IDRIJA,IDRIJA,GORIŠKA
IDRIJA PRI BAČI,TOLMIN,GORIŠKA
IDRIJSKA BELA,IDRIJA,GORIŠKA
IDRIJSKE KRNICE,IDRIJA,GORIŠKA
IDRIJSKI LOG,IDRIJA,GORIŠKA
IDRSKO,KOBARID,GORIŠKA
IDRŠEK,IDRIJA,GORIŠKA
IG,IG,OSREDNJESLOVENSKA
IGA VAS,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
IGLENIK,NOVO MESTO,JUGOVZHODNA SLOVENIJA
IGLENIK PRI VELIKI LOKI,TREBNJE,JUGOVZHODNA SLOVENIJA
IHAN,DOMŽALE,OSREDNJESLOVENSKA
IHOVA,BENEDIKT,PODRAVSKA
ILIRSKA BISTRICA,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
ILJAŠEVCI,KRIŽEVCI,POMURSKA
ILOVCA,VOJNIK,SAVINJSKA
ILOVCI,LJUTOMER,POMURSKA
ILOVKA,KRANJ,GORENJSKA
IMENJE,BRDA,GORIŠKA
IMENJE,MORAVČE,OSREDNJESLOVENSKA
IMENJE,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
IMENO,PODČETRTEK,SAVINJSKA
IMENSKA GORCA,PODČETRTEK,SAVINJSKA
IMOVICA,LUKOVICA,OSREDNJESLOVENSKA
IRJE,ROGAŠKA SLATINA,SAVINJSKA
IVANCI,MORAVSKE TOPLICE,POMURSKA
IVANDOL,KRŠKO,POSAVSKA
IVANJE SELO,CERKNICA,PRIMORSKO-NOTRANJSKA
IVANJI GRAD,KOMEN,OBALNO-KRAŠKA
IVANJKOVCI,ORMOŽ,PODRAVSKA
IVANJSKI VRH,CERKVENJAK,PODRAVSKA
IVANJSKI VRH,GORNJA RADGONA,POMURSKA
IVANJŠE,KOSTANJEVICA NA KRKI,POSAVSKA
IVANJŠEVCI,MORAVSKE TOPLICE,POMURSKA
IVANJŠEVCI OB ŠČAVNICI,GORNJA RADGONA,POMURSKA
IVANJŠEVSKI VRH,GORNJA RADGONA,POMURSKA
IVANOVCI,MORAVSKE TOPLICE,POMURSKA
IVANČNA GORICA,IVANČNA GORICA,OSREDNJESLOVENSKA
IVENCA,VOJNIK,SAVINJSKA
IZGORJE,ŽIRI,GORENJSKA
IZLAKE,ZAGORJE OB SAVI,ZASAVSKA
IZOLA/ISOLA,IZOLA/ISOLA,OBALNO-KRAŠKA
IZVIR,BREŽICE,POSAVSKA
IŠKA,IG,OSREDNJESLOVENSKA
IŠKA LOKA,IG,OSREDNJESLOVENSKA
IŠKA VAS,IG,OSREDNJESLOVENSKA
IŽAKOVCI,BELTINCI,POMURSKA
JABLAN,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
JABLANA,ZAGORJE OB SAVI,ZASAVSKA
JABLANCE,DUPLEK,PODRAVSKA
JABLANCE,KOSTANJEVICA NA KRKI,POSAVSKA
JABLANICA,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
JABLANICA,SEVNICA,POSAVSKA
JABLANIŠKE LAZE,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
JABLANIŠKI POTOK,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
JABLOVEC,PODLEHNIK,PODRAVSKA
JAGNJENICA,RADEČE,POSAVSKA
JAGODJE/JAGODJE,IZOLA/ISOLA,OBALNO-KRAŠKA
JAGODNIK,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
JAGOČE,LAŠKO,SAVINJSKA
JAGRŠČE,CERKNO,GORIŠKA
JAKIČEVO,VELIKE LAŠČE,OSREDNJESLOVENSKA
JAKOB PRI ŠENTJURJU,ŠENTJUR,SAVINJSKA
JAKOVCE,SEŽANA,OBALNO-KRAŠKA
JAKOVICA,LOGATEC,OSREDNJESLOVENSKA
JAKŠIČI,KOSTEL,JUGOVZHODNA SLOVENIJA
JAMA,KRANJ,GORENJSKA
JAMA,NOVO MESTO,JUGOVZHODNA SLOVENIJA
JAMA PRI DVORU,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
JAMNA,SVETI JURIJ OB ŠČAVNICI,POMURSKA
JAMNICA,PREVALJE,KOROŠKA
JAMNIK,KRANJ,GORENJSKA
JAMNIK,VRHNIKA,OSREDNJESLOVENSKA
JANEŽEVO BRDO,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
JANEŽI,SODRAŽICA,JUGOVZHODNA SLOVENIJA
JANEŽOVCI,DESTRNIK,PODRAVSKA
JANEŽOVSKI VRH,DESTRNIK,PODRAVSKA
JANHOVA,APAČE,POMURSKA
JANKOVA,VOJNIK,SAVINJSKA
JANKOVIČI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
JANČE,LJUBLJANA,OSREDNJESLOVENSKA
JANŠKI VRH,MAJŠPERK,PODRAVSKA
JANŠKOVO SELO,VELENJE,SAVINJSKA
JANŽEV VRH,RADENCI,POMURSKA
JANŽEVA GORA,SELNICA OB DRAVI,PODRAVSKA
JANŽEVSKI VRH,PODVELKA,KOROŠKA
JARENINSKI DOL,PESNICA,PODRAVSKA
JARENINSKI VRH,PESNICA,PODRAVSKA
JARMOVEC,ŠENTJUR,SAVINJSKA
JARČJA DOLINA,ŽIRI,GORENJSKA
JARČJE BRDO,GORENJA VAS - POLJANE,GORENJSKA
JARČJI VRH,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
JARŠE,ZAGORJE OB SAVI,ZASAVSKA
JASEN,DOMŽALE,OSREDNJESLOVENSKA
JASEN,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
JASTREBCI,ORMOŽ,PODRAVSKA
JASTREBNIK,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
JAVNIK,PODVELKA,KOROŠKA
JAVOR,LJUBLJANA,OSREDNJESLOVENSKA
JAVORJE,GORENJA VAS - POLJANE,GORENJSKA
JAVORJE,HRPELJE - KOZINA,OBALNO-KRAŠKA
JAVORJE,VELIKE LAŠČE,OSREDNJESLOVENSKA
JAVORJE,ČRNA NA KOROŠKEM,KOROŠKA
JAVORJE,ŠENTJUR,SAVINJSKA
JAVORJE,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
JAVORJE PRI BLAGOVICI,LUKOVICA,OSREDNJESLOVENSKA
JAVORJE PRI GABROVKI,LITIJA,ZASAVSKA
JAVORJEV DOL,GORENJA VAS - POLJANE,GORENJSKA
JAVORNIK,IDRIJA,GORIŠKA
JAVORNIK,KRANJ,GORENJSKA
JAVORNIK,ŠTORE,SAVINJSKA
JAVORNIŠKI ROVT,JESENICE,GORENJSKA
JAVOROVICA,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
JAZBIN VRH,ŠENTJUR,SAVINJSKA
JAZBINA,ČRNA NA KOROŠKEM,KOROŠKA
JAZBINA,ŠMARJE PRI JELŠAH,SAVINJSKA
JAZBINE,GORENJA VAS - POLJANE,GORENJSKA
JAZBINE,ŠENTJUR,SAVINJSKA
JAZNE,CERKNO,GORIŠKA
JEDLOVNIK,KUNGOTA,PODRAVSKA
JELCE,ŠENTJUR,SAVINJSKA
JELENDOL,RIBNICA,JUGOVZHODNA SLOVENIJA
JELENDOL,TRŽIČ,GORENJSKA
JELENDOL,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
JELENIK,KRŠKO,POSAVSKA
JELENJA VAS,KOČEVJE,JUGOVZHODNA SLOVENIJA
JELENK,ZAGORJE OB SAVI,ZASAVSKA
JELENOV ŽLEB,RIBNICA,JUGOVZHODNA SLOVENIJA
JELENSKA REBER,LITIJA,ZASAVSKA
JELENČE,PESNICA,PODRAVSKA
JELIČNI VRH,IDRIJA,GORIŠKA
JELOVEC,MARIBOR,PODRAVSKA
JELOVEC,SEVNICA,POSAVSKA
JELOVEC,SODRAŽICA,JUGOVZHODNA SLOVENIJA
JELOVEC PRI MAKOLAH,MAKOLE,PODRAVSKA
JELOVICA,GORENJA VAS - POLJANE,GORENJSKA
JELOVICE,MAJŠPERK,PODRAVSKA
JELOVO,RADEČE,POSAVSKA
JELŠA,LUKOVICA,OSREDNJESLOVENSKA
JELŠA,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
JELŠANE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
JELŠE,KRŠKO,POSAVSKA
JELŠE,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
JELŠE PRI OTOČCU,NOVO MESTO,JUGOVZHODNA SLOVENIJA
JELŠEVEC,KRŠKO,POSAVSKA
JELŠEVEC,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
JELŠEVICA,ZAGORJE OB SAVI,ZASAVSKA
JELŠEVNIK,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
JEPERJEK,SEVNICA,POSAVSKA
JERANOVO,KAMNIK,OSREDNJESLOVENSKA
JEREKA,BOHINJ,GORENJSKA
JERESLAVEC,BREŽICE,POSAVSKA
JERINOV GRIČ,VRHNIKA,OSREDNJESLOVENSKA
JERMAN VRH,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
JERNEJA VAS,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
JERONIM,VRANSKO,SAVINJSKA
JEROVSKA VAS,ŠMARJE PRI JELŠAH,SAVINJSKA
JERUZALEM,LJUTOMER,POMURSKA
JERČIN,PODČETRTEK,SAVINJSKA
JERŠANOVO,BLOKE,PRIMORSKO-NOTRANJSKA
JERŠIČE,CERKNICA,PRIMORSKO-NOTRANJSKA
JESEN,KANAL,GORIŠKA
JESENICA,CERKNO,GORIŠKA
JESENICE,BREŽICE,POSAVSKA
JESENICE,JESENICE,GORENJSKA
JESENJE,LITIJA,ZASAVSKA
JESENOV VRT,KOSTEL,JUGOVZHODNA SLOVENIJA
JESENOVO,ZAGORJE OB SAVI,ZASAVSKA
JEVNICA,LITIJA,ZASAVSKA
JEVŠČEK,KOBARID,GORIŠKA
JEZERCA,KOBARID,GORIŠKA
JEZERCE PRI DOBJEM,DOBJE,SAVINJSKA
JEZERCE PRI ŠMARTNEM,CELJE,SAVINJSKA
JEZERO,BREZOVICA,OSREDNJESLOVENSKA
JEZERO,TREBNJE,JUGOVZHODNA SLOVENIJA
JEŠENCA,RAČE - FRAM,PODRAVSKA
JEŠOVEC,SLOVENSKA BISTRICA,PODRAVSKA
JEŠOVEC PRI KOZJEM,KOZJE,SAVINJSKA
JEŠOVEC PRI ŠMARJU,ŠMARJE PRI JELŠAH,SAVINJSKA
JEŽCE,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
JEŽEVEC,LITIJA,ZASAVSKA
JEŽNI VRH,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
JIRŠOVCI,DESTRNIK,PODRAVSKA
JORDANKAL,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
JOSIPDOL,RIBNICA NA POHORJU,KOROŠKA
JUGORJE,NOVO MESTO,JUGOVZHODNA SLOVENIJA
JUGORJE PRI METLIKI,METLIKA,JUGOVZHODNA SLOVENIJA
JUNČJE,RIBNICA,JUGOVZHODNA SLOVENIJA
JURIŠNA VAS,SLOVENSKA BISTRICA,PODRAVSKA
JURJEVICA,RIBNICA,JUGOVZHODNA SLOVENIJA
JURJEVSKI DOL,ŠENTILJ,PODRAVSKA
JURKA VAS,STRAŽA,JUGOVZHODNA SLOVENIJA
JURKLOŠTER,LAŠKO,SAVINJSKA
JURNA VAS,NOVO MESTO,JUGOVZHODNA SLOVENIJA
JUROVCI,VIDEM,PODRAVSKA
JUROVSKI DOL,SVETI JURIJ V SLOV. GORICAH,PODRAVSKA
JURSKI VRH,KUNGOTA,PODRAVSKA
JURŠINCI,JURŠINCI,PODRAVSKA
JURŠČE,PIVKA,PRIMORSKO-NOTRANJSKA
JUVANJE,LJUBNO,SAVINJSKA
KADRENCI,CERKVENJAK,PODRAVSKA
KAJŽAR,ORMOŽ,PODRAVSKA
KAL,HRASTNIK,ZASAVSKA
KAL,IVANČNA GORICA,OSREDNJESLOVENSKA
